ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-12892,1448,-24876,22343,-783,-1,5908,-1680,14640,-2188,13318,-1
-12596,1988,-23672,22095,-2077,-1,6208,-2352,12892,-976,14107,-1
-11904,1312,-22148,22287,-3095,-1,6560,-608,10516,-282,14527,-1
-11488,1140,-21588,21919,-4162,-1,6348,2048,9236,-713,14442,-1
-11704,1840,-21312,21458,-5493,-1,6620,4008,8092,-2015,13999,-1
-12120,3772,-21056,21198,-7134,-1,7924,4556,7564,-3654,13737,-1
-12056,4396,-20936,20807,-8870,-1,8096,4172,7768,-4968,13708,-1
-12244,6212,-19912,19139,-11080,-1,8460,3188,8020,-5612,13816,-1
-12072,5260,-18292,18950,-12685,-1,8532,2000,9996,-6078,14020,-1
-11792,4216,-16652,18762,-14133,-1,8744,1396,11248,-6203,14292,-1
-11520,3120,-15584,17667,-15712,-1,8412,1384,12320,-5871,14454,-1
-11160,2408,-14420,17911,-17089,-1,7684,2000,13368,-5158,14367,-1
-10812,3136,-13192,16838,-18673,-1,7268,2836,13584,-3901,14337,-1
-10844,2188,-12148,15287,-19940,-1,7088,3192,13040,-2636,14002,-1
-9256,1856,-10660,14462,-21232,-1,7096,3184,11812,-1802,13770,-1
-8532,928,-10200,12244,-22408,-1,7504,3164,10696,-1191,13703,-1
-7540,824,-8840,10208,-23561,-1,7012,3188,9872,-1269,13659,-1
-7328,632,-8796,7876,-24132,-1,6996,3320,9404,-1234,13616,-1
-6608,1532,-8060,5864,-25106,-1,7088,3100,9864,-1310,13341,-1
-6240,1268,-12060,4339,-25453,-1,5664,3428,10280,-1434,13191,-1
-4348,6612,-9592,1077,-27149,-1,6836,2464,11108,-1256,13142,-1
-6348,2548,-10196,-814,-27516,-1,5296,2564,12608,-1097,12756,-1
-5588,7248,-9228,-7794,-31105,-1,5916,2644,12484,-417,12322,-1
-4896,5584,-8572,-5214,-30224,-1,4936,2584,12888,313,11676,-1
-4788,8364,-9248,-7464,-32209,-1,4476,2392,13052,1533,10728,-1
-4324,6852,-8592,-7883,-32746,-1,4584,2512,12384,2411,10135,-1
-2952,7680,-6528,-8586,-32768,-1,3900,2752,11076,3547,9570,-1
-2796,8724,-8728,-11814,-32768,-1,3600,2756,10128,4146,8982,-1
-2552,8892,-7192,-14714,-32768,-1,3212,2488,10632,4952,8061,-1
-4180,11032,-14464,-19300,-32768,-1,2028,2128,10016,3908,7528,-1
-3156,12468,-10008,-17835,-32768,-1,2812,820,10228,2794,6928,-1
-1856,14028,-12340,-20677,-32768,-1,3100,-760,11524,2226,6359,-1
-380,17236,-13652,-23510,-32768,-1,4028,-2488,12860,1857,6260,-1
560,16920,-14416,-22663,-31782,-1,6232,-4192,14216,1801,6754,-1
516,18228,-13584,-22648,-30330,-1,7168,-4796,14148,1633,7338,-1
-1396,20240,-13768,-21465,-27748,-1,7604,-4936,14820,2095,8321,-1
-420,20924,-16604,-23341,-24749,-1,7964,-4788,15616,2270,9702,-1
860,21196,-19520,-23276,-23273,-1,6704,-3584,15996,1441,10871,-1
1300,20608,-19052,-24991,-21737,-1,6816,-2296,12336,2646,11703,-1
1160,20568,-16700,-24166,-20413,-1,3992,-1592,13088,3435,11742,-1
-500,20432,-14728,-23299,-19752,-1,5120,-892,10048,3888,11195,-1
-1456,20924,-18200,-24156,-17963,-1,3124,-316,8308,3908,10350,-1
-764,20580,-19368,-24763,-15191,-1,3776,-300,8776,2916,9680,-1
-580,19972,-19536,-25439,-11940,-1,3928,-1448,8980,1576,9416,-1
-1164,18816,-17684,-25122,-8530,-1,4412,-3552,9876,983,9439,-1
-2220,16872,-17712,-25959,-5385,-1,5388,-5732,11160,1066,10305,-1
-1952,15192,-18648,-25094,-2516,-1,6096,-7172,11652,1755,12023,-1
-1640,16728,-20500,-24226,-435,-1,5180,-6832,11280,2483,13893,-1
-1716,19364,-22076,-22383,1491,-1,4712,-5760,11812,2922,15309,-1
-2196,18136,-23164,-20643,3450,-1,4920,-4696,12140,2491,16178,-1
-2028,15120,-24772,-18903,5940,-1,5380,-3996,12172,2106,16696,-1
-2332,12568,-25520,-17290,8018,-1,6088,-3364,11148,2017,16987,-1
-2916,10992,-26976,-16853,9617,-1,5160,-2396,10176,2035,17252,-1
-3708,11416,-27516,-14472,11956,-1,4324,-1912,9652,1484,16998,-1
-4360,11560,-29012,-12439,14266,-1,3288,-1412,9736,626,16388,-1
-5340,10560,-29816,-9492,16348,-1,2168,-984,11024,-95,15719,-1
-5868,9012,-30708,-5991,18360,-1,1736,-916,11884,-460,15010,-1
-6108,7260,-31128,-2504,19423,-1,2320,-1676,12396,-484,14636,-1
-6116,6872,-31184,872,19510,-1,3480,-2948,12404,-402,14720,-1
-6368,5292,-31420,4774,19100,-1,3684,-4176,11984,-222,15429,-1
-6648,3408,-31228,8863,17813,-1,4196,-4764,12104,277,16754,-1
-6832,1884,-31060,12306,15802,-1,5816,-4340,11096,-284,18214,-1
-7148,820,-31660,15264,13002,-1,4604,-2884,12060,-321,19731,-1
-7260,736,-32012,18180,10180,-1,3824,-20,13648,-143,20011,-1
-6920,660,-30924,21115,7295,-1,1784,2792,13228,159,20292,-1
-7568,1048,-31028,24151,4981,-1,1848,5664,11636,-85,19165,-1
-9188,2360,-31236,26572,2716,-1,1388,6792,12500,-1103,17618,-1
-10984,4504,-31200,27703,1147,-1,2840,6484,12136,-2876,15950,-1
-11640,5972,-29276,27662,-397,-1,5140,5032,10912,-3909,14928,-1
-12000,5980,-27320,27373,-959,-1,4556,3456,11640,-4807,13967,-1
-12528,3900,-28356,25530,-690,-1,4412,1876,12244,-5452,13397,-1
-10312,4868,-20560,27328,-2225,-1,6292,180,11992,-5771,13179,-1
-11044,2552,-26504,25184,-444,-1,6412,-264,11612,-6314,13203,-1
-10268,3036,-23280,23076,-816,-1,7436,-132,9600,-5577,13776,-1
-9112,6000,-20148,23097,-3992,-1,7020,1172,9164,-5359,14054,-1
-8408,5340,-20372,20986,-1513,-1,7004,2276,7956,-5391,14216,-1
-8200,1004,-19276,20677,-906,-1,7720,2532,8028,-6071,14106,-1
-8544,584,-19684,18585,-2427,-1,7000,2812,9336,-6784,14076,-1
-8376,40,-18152,16218,-4251,-1,8156,2592,10092,-7528,14275,-1
-7524,744,-16200,15645,-6028,-1,7904,2052,11732,-7481,14483,-1
-7388,692,-14536,14675,-8104,-1,7616,2420,13264,-6907,14461,-1
-7216,-664,-13816,14249,-9655,-1,8352,2108,13848,-5662,14640,-1
-7440,-312,-13748,11707,-11611,-1,8540,2184,13572,-3968,14738,-1
-6896,-1096,-12204,8352,-14101,-1,8020,2352,12592,-2637,14980,-1
-6424,-244,-9020,6717,-15940,-1,8912,3456,10132,-1814,15086,-1
-7088,-120,-9388,1529,-18580,-1,7292,3200,10084,-1574,15202,-1
-7700,-624,-13244,4035,-18439,-1,7488,3192,9312,-1574,15129,-1
-5724,-568,-9672,-2278,-20646,-1,7144,2924,8856,-1689,15143,-1
-3876,-3052,-8948,505,-19926,-1,7832,3256,8848,-2321,14865,-1
-5240,-516,-10764,-5546,-22537,-1,8284,3316,9276,-2122,14526,-1
-4360,-152,-8648,-5857,-23853,-1,6124,3116,12440,-2705,14133,-1
-3024,3244,-7688,-5410,-23397,-1,7416,2448,12648,-2223,13789,-1
-3200,3460,-6372,-7212,-24455,-1,6904,1936,13844,-1607,13078,-1
-2896,1320,-8392,-6855,-25410,-1,5744,1504,16060,-543,12329,-1
-2796,1240,-8136,-10020,-24709,-1,5404,956,14696,1712,11732,-1
-2204,2100,-9172,-13467,-25693,-1,5912,556,13396,4509,11218,-1
-2764,3980,-7720,-14860,-26218,-1,4544,1020,11608,6213,10804,-1
-2516,6620,-8892,-17119,-26994,-1,4464,1448,9620,7113,10035,-1
-1892,6352,-9288,-18294,-27125,-1,3384,1608,9192,6607,9210,-1
-2100,8376,-10772,-20184,-28427,-1,2492,1376,9304,6034,8132,-1
-1488,7832,-11016,-21393,-29187,-1,2320,768,9984,6030,6925,-1
-1124,9748,-11512,-24670,-30218,-1,4924,-324,11176,6421,6182,-1
