mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-14241.8333333,823.361111111,-2046.33333333,-8698.33333333,-1586.75,-14472.2777778,-431.229166667,418.069444444,1658.11111111,-226.729166667,15040.4328228,2356.21489341,2598.55544593,11445.3952802,3532.89708076,13230.5403483,4911.53892781,3987.1884299,15516.0822799,2188.48581373,-9280.0,912.0,-1790.0,-5782.0,-920.0,-13090.0,187.5,221.5,2427.5,-243.5,14056.0925926,1803.04552469,1653.0,9587.3287037,2395.64583333,11826.5192901,3361.67447917,2732.10108025,10330.845679,1611.4134838,6884,8448,6648,5676,7860,3636,18279,11984,31035,9669,-32768,-4088,-14252,-32768,-15424,-32768,-15434,-15252,-32768,-6523,-0.19376189467,0.152180521191,0.283785472419,0.676404657396,0.900156531799,0.484381485066,-0.587324469739,-0.470601429393,5
-11244.25,1740.61111111,-2539.61111111,-6555.38888889,-1447.47222222,-12123.9166667,-170.090277778,-38.875,3191.38888889,-99.5833333333,14472.2552268,4683.79690146,3933.20314865,11130.8918668,3768.91955719,12388.8809744,6063.41193838,6100.68524969,15095.1739781,2538.39801499,-3666.0,912.0,-2100.0,-3144.0,-228.0,-9064.0,-237.5,156.0,3275.0,-316.5,13060.1423611,3450.03780864,2748.77932099,8781.65509259,2698.4367284,10606.0659722,4254.75569059,4215.04513889,10265.4166667,1777.19328704,6884,19928,8748,5676,7860,2868,18279,11984,32767,9849,-32768,-9888,-14356,-32768,-15424,-32768,-15434,-22706,-32768,-4305,-0.298412435861,0.0731444379573,0.416042117038,0.785691172193,0.891919808637,0.606352456165,-0.35970270125,-0.652546155724,5
-12631.1111111,2233.33333333,-2608.0,-7560.44444444,-1843.16666667,-13359.75,755.631944444,-520.868055556,2331.45833333,-192.534722222,15028.2851076,4506.79698023,4087.04213321,12006.0215672,4168.49178675,13076.965506,6116.35542303,5435.58504291,14869.9379201,2962.97257873,-4980.0,1340.0,-2194.0,-3522.0,-378.0,-9210.0,517.5,165.5,3507.0,-311.0,14006.3271605,3233.44444444,2960.33333333,10060.7530864,3081.75694444,11576.6006944,4500.1253858,3817.61545139,10281.6811343,2175.75501543,6008,19928,8932,8648,6760,2796,19655,11614,32767,9849,-32768,-9888,-14356,-32768,-18116,-32768,-14886,-22706,-32768,-5380,-0.333809633512,-0.0652819236415,0.395177719146,0.805817262537,0.876433657378,0.609101457751,-0.026174901969,-0.596305076541,5
-12656.6666667,2286.52777778,-1675.13888889,-7818.5,-1921.36111111,-13896.75,-380.819444444,-382.333333333,2175.51388889,-408.979166667,15537.2187951,3469.17344087,3479.92357968,11679.9984852,4297.29907468,13134.0880696,5401.95339915,3731.58299149,14283.5627096,2733.73809364,-5462.0,1984.0,-1498.0,-4084.0,-788.0,-10092.0,-423.5,220.5,2928.5,-559.5,14529.5555556,2668.94020062,2594.29359568,9705.95138889,3044.51813272,11638.0763889,4002.94695216,2959.49537037,9732.02623457,1943.02256944,7096,11972,8932,8648,6760,2844,19655,6107,27575,11137,-32768,-5848,-13104,-32768,-18116,-32768,-14886,-10605,-32768,-5380,-0.520836345499,-0.0322025725509,0.0511947674361,0.78793273108,0.864937416332,0.575571968559,-0.0903709625069,-0.371517922808,5
-11301.6666667,2274.52777778,-448.777777778,-6328.05555556,-1340.69444444,-12600.2222222,-944.916666667,184.673611111,2026.97916667,-285.381944444,14891.8072374,3766.55553346,2420.03878038,10629.2330926,3813.29194875,12856.1167942,3174.00092866,3194.26799527,14402.0592275,2085.88525587,-4294.0,2282.0,-60.0,-3056.0,-480.0,-9406.0,-843.5,1067.0,2097.0,-492.0,13513.1574074,3080.38155864,1857.09722222,8336.18364198,2644.89699074,11174.154321,2463.13773148,2298.59789738,10049.7986111,1429.38647762,7096,11844,6156,6068,6860,3544,6988,6107,27575,11137,-32768,-6008,-9924,-32768,-16844,-32768,-8322,-10605,-32768,-5369,-0.491895277608,-0.196471503528,-0.25449351352,0.790903438784,0.857109664898,0.548317645211,-0.254262735711,-0.397440296506,5
-13901.6666667,2397.0,30.1666666667,-8212.66666667,-1603.47222222,-14571.8333333,-61.9930555556,497.972222222,697.236111111,476.819444444,15316.636155,3331.69810333,1901.68389864,11589.5543227,4155.09781754,13459.269876,2495.50910342,1595.434671,14548.7635579,2439.9937884,-8256.0,2226.0,8.0,-3834.0,-498.0,-11914.0,-294.0,699.5,1326.0,-104.0,14309.2731481,2812.75,1425.75231481,9871.12962963,2943.09606481,12133.9791667,1946.7574267,1227.55709877,10058.3659336,1831.8601466,6880,8712,5612,7632,6860,3544,7414,5204,24998,10736,-32768,-6008,-4936,-32768,-18436,-32768,-5487,-7156,-32768,-3432,-0.587632551057,-0.549315724187,0.211416493214,0.79819695769,0.872159120375,0.5613206294,-0.179516724356,-0.552611647738,5
-13249.6666667,2194.5,-49.0,-8467.19444444,-1574.13888889,-14881.6111111,-359.868055556,-163.743055556,1357.6875,-26.2152777778,15707.6051457,3366.94237418,1908.39578953,11681.6209008,4391.00328566,13231.7636251,2363.48355631,1755.39649754,13640.1129276,2814.62515152,-7642.0,2004.0,-360.0,-4044.0,-766.0,-11696.0,-529.0,-197.5,2520.5,-376.5,14685.5740741,2824.44444444,1438.90277778,9957.38233025,2929.84799383,11894.3680556,1846.55594136,1295.28510802,9061.15277778,2114.73003472,7308,8712,5612,7632,7128,2824,7414,6723,26597,10736,-32768,-5440,-4548,-32768,-18436,-32768,-4929,-4721,-32768,-5378,-0.802667315662,-0.560763372505,0.492349474317,0.777826764023,0.874019397483,0.537757874463,-0.00904885329287,-0.347225493923,5
-11190.7222222,1072.77777778,-95.0555555556,-6632.72222222,-1417.33333333,-12713.8333333,-65.0069444444,-101.0,2265.27083333,-258.034722222,15059.5394846,3184.34264867,1832.24513498,10779.9947705,3816.11461322,13260.6914807,2422.5369396,1785.44680115,13409.2395514,2419.90263173,-3146.0,984.0,-76.0,-1942.0,-766.0,-9568.0,-53.0,-197.5,2067.0,-134.5,13707.2893519,2628.79938272,1344.02932099,8603.2816358,2419.0,11731.8912037,1975.14583333,1248.44444444,8804.07002315,1759.87046682,7308,8344,5600,5688,7128,4292,6984,6907,27747,9195,-32768,-5440,-4548,-32768,-16528,-32768,-4929,-4721,-32768,-5378,-0.744187659974,-0.473591049274,0.229002448699,0.804689641895,0.856189341649,0.503980600639,0.159051085977,-0.195942063651,5
-11309.5555556,1166.80555556,-174.972222222,-6495.02777778,-1299.19444444,-12008.1944444,279.541666667,28.7361111111,1595.70833333,-14.2013888889,14885.7487512,3290.42158388,2068.92001807,10894.2433428,4150.39735106,13626.6381846,2693.01860132,2059.46703332,14371.0519968,2475.3951767,-3558.0,1408.0,106.0,-1536.0,-322.0,-7580.0,276.5,-167.0,1453.0,12.0,13528.5123457,2769.24421296,1468.18981481,8744.21566358,2647.6253858,12077.0628858,2296.91666667,1382.35300926,9892.390625,1553.29031636,7080,8344,6536,5384,9848,4292,4865,6907,29471,11388,-32768,-6696,-9296,-32768,-17452,-32768,-5940,-7172,-32768,-6026,-0.655339406487,-0.300710249766,-0.0406940825234,0.767059851123,0.857615913677,0.452579253773,0.298509738791,-0.319659622405,5
-12645.5,1854.11111111,-429.0,-7529.33333333,-1135.44444444,-13577.4166667,85.3333333333,154.243055556,175.229166667,-567.75,15191.8726441,3534.54505853,1925.89075931,11356.873745,4507.58258716,13903.7691924,2912.45469727,2488.40732687,14670.9294435,2513.10962614,-5200.0,1930.0,-320.0,-3196.0,-212.0,-9892.0,-75.0,-252.0,1053.5,-581.5,14047.1041667,2978.99691358,1442.01388889,9396.16666667,2966.70524691,12549.224537,2431.03240741,1671.61313657,10203.037037,1601.67013889,6948,8552,6536,5988,9848,4136,5785,10962,29471,11388,-32768,-6696,-9296,-32768,-17452,-32768,-6901,-7172,-32768,-6026,-0.685022357066,-0.092722934288,-0.175096001151,0.715961268333,0.853110404445,0.442641366893,0.0279370250839,-0.384199928344,5
