mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-14596.75,6263.52777778,-4746.75,-13146.5833333,966.166666667,-11898.0277778,176.048611111,-75.3055555556,-152.611111111,78.9652777778,544.278614122,1288.85759544,1065.10731263,293.268618365,1106.91768855,356.784394443,1474.63507554,2000.91984888,492.052986389,566.494550467,-14712.0,5798.0,-5032.0,-13092.0,1552.0,-11880.0,-114.5,-153.5,-57.0,153.0,423.385416667,981.001157407,763.295138889,230.886574074,1052.875,294.001157407,1003.19627701,1279.99151235,385.898919753,427.662615741,-12840,12928,-2588,-12668,2636,-10960,4619,6123,890,1375,-15428,4984,-8668,-14360,-1328,-12740,-2825,-3681,-1493,-1409,0.506019536515,-0.259384607225,-0.131660883799,-0.260625606776,-0.579453975171,0.468640021341,0.803916617321,0.350226587533,0
-14701.3055556,5960.75,-4650.33333333,-13059.6944444,1143.52777778,-11992.4444444,-310.236111111,398.881944444,64.6666666667,-123.194444444,433.619556719,768.903601404,677.09102176,303.867133225,1121.68320038,368.886773194,541.6177785,737.023901051,384.46078851,601.413559557,-14708.0,5738.0,-4954.0,-13050.0,1676.0,-11924.0,-203.5,245.5,48.0,-3.0,330.454089506,660.6875,573.87037037,216.301311728,1000.3125,304.925925926,413.420138889,574.763406636,284.717592593,451.80941358,-13608,7624,-3044,-11828,2896,-11336,610,1892,1133,866,-15972,4984,-5664,-13968,-900,-13048,-1778,-1609,-905,-2223,0.292723786829,0.395791965187,0.841128337661,-0.17062006328,-0.561283138978,0.376112830833,-0.291284938591,0.496164357108,0
-14411.3055556,7011.75,-3784.86111111,-12898.25,-337.166666667,-12252.8888889,-420.75,480.618055556,-34.6875,-195.090277778,573.38456905,1058.63490078,799.944496423,267.897368408,1097.75612205,288.628081423,1276.93973386,1300.72295657,355.754992864,673.999967973,-14418.0,7028.0,-3774.0,-12926.0,-744.0,-12252.0,-493.5,513.0,-71.0,-128.0,446.148533951,677.149305556,619.694444444,198.0,837.229166667,216.0,843.885416667,898.314525463,253.328125,519.729070216,-12976,12544,-1620,-11828,2896,-11352,5167,4439,1133,1247,-15972,5056,-5664,-13616,-1856,-13048,-3863,-3284,-905,-2223,0.259672428196,0.558445595634,0.478375834466,0.185177520473,-0.424763473977,-0.049677944981,0.705984219985,0.239990311591,0
-14301.6666667,7336.61111111,-3432.08333333,-12910.7222222,-1062.52777778,-12274.3611111,-285.284722222,129.444444444,-96.3611111111,136.215277778,425.189122873,862.429071664,552.436124207,218.028112784,322.143432079,234.587649271,1212.66495331,1268.13796528,204.160522718,587.947016822,-14358.0,7178.0,-3462.0,-12922.0,-1038.0,-12256.0,-328.5,306.5,-100.5,86.0,317.398148148,479.716820988,369.354166667,169.831018519,259.188657407,189.270061728,710.90788966,883.757716049,157.189429012,431.823591821,-12976,12544,-1620,-12212,-284,-11608,5167,4439,503,1422,-15384,5056,-4688,-13432,-1856,-12784,-3863,-3284,-530,-1121,0.111265871464,0.485840619183,0.103466973718,0.399074786648,-0.312879996975,-0.326794382876,0.769671355245,0.0239287575527,0
-14354.8888889,7233.88888889,-3426.30555556,-12926.0555556,-1151.08333333,-12257.2222222,-238.5625,133.506944444,-110.722222222,146.506944444,154.009858512,257.598134226,174.373655456,146.989166519,278.43427116,201.901050488,290.673577976,546.691894876,154.088315628,397.17395031,-14356.0,7214.0,-3406.0,-12926.0,-1192.0,-12256.0,-246.5,148.0,-96.5,93.0,122.293209877,198.99382716,133.704861111,108.055555556,220.283564815,166.405864198,201.997395833,380.166377315,116.990740741,251.252025463,-13836,7884,-3056,-12520,-284,-11704,628,1021,241,1422,-14716,6592,-3928,-13328,-1756,-12708,-1037,-1548,-530,-477,0.152873760633,-0.228827577703,-0.512559300062,0.402609663212,-0.112703763795,-0.374796794879,-0.0424642740167,-0.0164148949487,0
-14344.75,7278.08333333,-3375.47222222,-12888.4722222,-1244.61111111,-12284.75,-156.479166667,62.0486111111,-89.0694444444,68.4027777778,103.472539514,130.063755211,145.068488501,94.771270059,131.639957752,140.056307358,136.703444473,136.372091246,92.4293457455,120.823590958,-14346.0,7272.0,-3378.0,-12892.0,-1240.0,-12292.0,-155.5,96.0,-96.5,60.0,83.6388888889,103.614583333,111.535108025,76.7303240741,98.6280864198,111.385416667,102.319155093,96.1065779321,74.1062885802,93.4945987654,-14064,7644,-3056,-12616,-860,-11844,179,253,175,394,-14588,6960,-3776,-13136,-1604,-12572,-517,-399,-289,-238,0.33604661802,-0.153360572678,-0.448752005118,0.0286579498641,-0.185207301025,-0.187898926443,-0.280111242834,0.0169927873919,0
-14346.8055556,7261.0,-3355.72222222,-12860.4166667,-1229.47222222,-12322.25,-158.236111111,94.2013888889,-123.486111111,86.6944444444,89.8733590572,109.458169677,127.052130947,81.64424791,90.0594942786,102.45514113,135.118388189,88.6323892132,78.2258686052,109.756518692,-14342.0,7272.0,-3348.0,-12866.0,-1232.0,-12318.0,-130.5,98.0,-142.0,77.5,73.255787037,88.8888888889,103.770061728,64.4108796296,71.9313271605,83.2569444444,99.6734182099,69.106867284,63.4666280864,88.674382716,-14140,7544,-3056,-12616,-964,-12064,67,331,100,347,-14588,6964,-3652,-13080,-1440,-12556,-545,-128,-293,-126,0.193175107819,-0.263047513746,-0.439586786384,-0.073095144193,-0.0563721000677,-0.159940815953,-0.514960020258,0.240676013908,0
-14349.0833333,7250.80555556,-3380.97222222,-12885.7222222,-1195.05555556,-12299.4444444,-171.354166667,92.2708333333,-127.645833333,89.6458333333,76.7656956457,114.900582005,126.388674829,75.8410598282,94.2188924218,102.387292821,133.241747209,97.4337299438,82.070025426,134.583972734,-14348.0,7244.0,-3358.0,-12882.0,-1200.0,-12300.0,-141.5,95.5,-143.5,104.0,61.3356481481,94.7723765432,101.191358025,57.6350308642,73.9837962963,82.0632716049,104.09056713,76.1585648148,67.0928819444,105.439236111,-14156,7544,-3148,-12620,-912,-11948,35,331,91,347,-14552,6964,-3748,-13164,-1440,-12544,-545,-172,-293,-231,0.150538793275,-0.211769573345,-0.36472673829,-0.0299597717209,-0.193403045783,-0.3615088128,-0.392874631544,-0.00967150194439,0
-14366.1111111,7241.02777778,-3439.61111111,-12905.3333333,-1167.5,-12279.2777778,-103.659722222,100.020833333,-143.208333333,25.4236111111,104.857086298,148.116564589,159.110337364,83.8206543634,96.1058565559,121.066267726,139.955795379,124.202376516,128.708804259,149.129482382,-14362.0,7250.0,-3412.0,-12902.0,-1164.0,-12270.0,-125.5,102.0,-145.5,61.0,81.1435185185,117.94367284,131.223765432,64.3518518519,77.5486111111,95.949845679,95.8367091049,96.701099537,101.146990741,129.027199074,-14064,7600,-3036,-12724,-912,-11948,427,416,143,330,-14660,6832,-3812,-13164,-1404,-12580,-323,-172,-477,-231,0.111048514607,-0.215131160305,-0.486089840545,0.115268013602,0.120034108122,-0.206888879881,0.228859213042,-0.299352878599,0
-14359.1388889,7260.02777778,-3446.13888889,-12911.1111111,-1182.19444444,-12281.8333333,-153.381944444,90.8125,-108.923611111,56.3333333333,124.402381822,163.314957817,162.474510582,87.4175824525,108.72209249,122.603802175,173.395622521,128.987448229,131.900952448,156.239953523,-14356.0,7280.0,-3442.0,-12912.0,-1176.0,-12282.0,-165.5,82.5,-85.5,65.5,101.349151235,129.469135802,133.835262346,67.7345679012,89.2303240741,97.4444444444,129.074363426,99.2413194444,102.689718364,133.814814815,-14024,7600,-3036,-12680,-940,-11984,427,416,143,339,-14660,6832,-3812,-13156,-1488,-12580,-412,-184,-477,-231,0.164619444745,-0.296276816122,-0.283317844833,0.135307462769,0.0753595337341,-0.0718700579336,0.135720310454,0.102186682231,0
