ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-11032,6756,-1644,15126,-14861,-1,748,-1268,-20316,-117,683,-1
-12428,6960,-908,16205,-15449,-1,752,-156,-20292,81,-124,-1
-13116,7152,-356,17707,-16039,-1,1148,644,-20556,266,-624,-1
-14640,8256,524,18523,-15549,-1,64,784,-20640,-52,-597,-1
-16084,8628,1388,19419,-14844,-1,1532,1076,-19900,178,-606,-1
-17284,8644,1536,20273,-13207,-1,1432,1096,-21184,377,-595,-1
-18432,7496,1612,20636,-12049,-1,988,756,-20972,226,-557,-1
-18672,7748,1776,19446,-11336,-1,820,232,-21356,216,-517,-1
-18536,7212,512,18270,-10871,-1,-612,116,-19984,110,-611,-1
-18812,4388,-564,16647,-10369,-1,380,92,-20496,128,-886,-1
-18404,2736,-1172,14591,-9475,-1,452,100,-20444,153,-1141,-1
-17788,3816,-1056,12351,-7925,-1,1004,144,-20688,254,-1296,-1
-16996,4228,-364,10243,-6662,-1,1012,152,-20592,460,-1478,-1
-16256,3532,52,8601,-5542,-1,796,292,-20360,654,-1653,-1
-16216,3296,368,6433,-4600,-1,760,412,-20468,795,-1771,-1
-15892,3268,640,3992,-3764,-1,432,644,-20316,821,-1863,-1
-15620,3456,796,1948,-3101,-1,568,844,-20352,779,-1946,-1
-15176,3848,816,350,-2616,-1,668,948,-20632,793,-2002,-1
-14888,4620,848,-805,-2261,-1,1344,916,-20968,931,-1866,-1
-14700,5092,852,-1568,-2069,-1,1868,1104,-21128,1176,-1463,-1
-13928,6380,652,-2033,-1939,-1,1688,1248,-20840,1367,-1014,-1
-13460,7480,228,-1985,-2054,-1,1304,1248,-21124,1435,-709,-1
-13216,8192,216,-1670,-2357,-1,784,984,-21752,1468,-588,-1
-13656,8648,320,-1158,-2927,-1,228,536,-22276,1194,-525,-1
-14460,8812,264,-367,-3385,-1,-120,656,-22656,1054,-543,-1
-15596,8756,656,470,-3929,-1,104,384,-22900,803,-443,-1
-16712,8508,1004,1376,-4396,-1,-292,420,-22304,486,-341,-1
-17508,8492,1228,2130,-4696,-1,-1512,764,-22020,-523,-495,-1
-18332,8472,1224,2572,-4800,-1,-1040,1416,-21680,-2030,-648,-1
-18916,8648,892,2419,-4575,-1,1204,2328,-22156,-3093,-166,-1
-19304,8576,160,1459,-3832,-1,3332,2804,-24420,-4321,822,-1
-20996,8280,64,-264,-2694,-1,6028,2144,-25800,-4209,2076,-1
-21916,7648,-340,-2341,-1114,-1,5716,924,-26132,-1800,2253,-1
-21616,7016,-944,-4581,953,-1,6384,-560,-24888,-1324,2118,-1
-21340,6428,-1436,-6717,3234,-1,5404,-1612,-23316,-750,1928,-1
-20688,5660,-1588,-8647,5518,-1,5440,-1712,-21660,83,1691,-1
-19252,5312,-1620,-10627,7846,-1,5132,-1072,-19368,111,1599,-1
-17360,5104,-1616,-12674,10420,-1,5944,-632,-17360,108,1992,-1
-16228,4728,-1320,-14317,12945,-1,4808,-532,-15992,-345,2170,-1
-16256,4236,-868,-15603,15140,-1,4144,-972,-16848,-561,1979,-1
-17160,3780,-648,-16605,16877,-1,3656,-1596,-18360,-1106,1487,-1
-18824,3628,-4,-17198,18156,-1,3680,-2420,-19848,-1203,1213,-1
-20132,3604,296,-16901,18954,-1,3472,-3760,-21300,-1173,925,-1
-20748,4388,696,-15917,19358,-1,3480,-4784,-21436,-977,411,-1
-20176,5196,1036,-14268,19552,-1,3364,-5180,-20732,-867,-248,-1
-18896,5948,1544,-12400,19298,-1,2352,-4600,-19976,-787,-829,-1
-17856,6332,1736,-10944,18810,-1,2164,-3312,-19168,-957,-1077,-1
