ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-3028,-2932,26500,9812,-19909,-1,-588,-2548,-21136,1194,1517,-1
-3880,-3012,26728,9108,-22594,-1,-560,-2848,-21488,1475,1609,-1
-4476,-1724,26768,8447,-25166,-1,-936,-3044,-21404,1666,1874,-1
-3688,2620,26148,6967,-26356,-1,-1148,-2788,-21148,2000,2162,-1
-2800,4028,25192,6069,-27216,-1,-1072,-2656,-21348,1915,2248,-1
-4544,6284,26460,5430,-27402,-1,-632,-2508,-19968,1784,2274,-1
-6056,12804,26996,3968,-28114,-1,-1364,-2240,-19704,1858,2121,-1
-5060,13524,24572,1878,-26981,-1,-1076,-2144,-20036,2229,2367,-1
-3512,16872,23632,695,-24257,-1,-1624,-2428,-20740,1770,2366,-1
-808,19504,20768,-370,-20809,-1,-1564,-2724,-20452,1160,2459,-1
636,25164,19504,-1108,-17676,-1,-420,-3016,-20968,1085,2445,-1
3012,27684,17992,-1891,-13876,-1,-908,-3480,-20544,1546,1984,-1
4328,32276,16828,-2111,-9183,-1,-812,-3800,-19896,1714,1384,-1
2592,32767,15752,-2136,-3734,-1,-532,-3656,-19284,1457,1372,-1
1360,31988,15924,-1806,1408,-1,-360,-3208,-18880,1092,1795,-1
-12,29524,14856,-1014,5639,-1,-456,-2688,-18780,743,2052,-1
-1336,25576,13164,-409,8189,-1,-772,-2592,-19292,343,2097,-1
-1472,22368,11808,919,9236,-1,-1004,-2760,-19968,85,1915,-1
-2664,20492,11680,2930,9280,-1,-800,-2900,-20236,-73,1724,-1
-2972,19428,12520,5606,9542,-1,-88,-3132,-20424,-150,1767,-1
-3468,18248,15204,8279,9563,-1,-308,-3172,-20568,-241,1899,-1
-3924,17912,19524,10066,8700,-1,-624,-2996,-20748,-416,1961,-1
-4860,17268,19624,11803,6789,-1,-772,-3032,-20948,-476,2005,-1
-6600,18896,19100,12807,5677,-1,-832,-2852,-21184,-515,2002,-1
-6532,21352,20004,14205,5337,-1,-1024,-2724,-21656,-241,2031,-1
-5660,22880,22512,15677,5450,-1,-952,-2320,-21356,73,1994,-1
-6444,24336,24456,17034,5449,-1,-948,-1940,-20188,191,1987,-1
-6348,25296,23056,16884,6319,-1,-1468,-1360,-19064,-137,1954,-1
-6948,25876,19708,15646,9044,-1,-1244,-1340,-19352,-589,1981,-1
-7144,26272,16568,13838,10517,-1,-468,-1732,-20180,-783,1990,-1
-7096,25136,14952,12581,10737,-1,56,-2384,-20560,-572,2158,-1
-7368,24820,13940,12279,11915,-1,-132,-2420,-21532,-147,2336,-1
-6228,21060,12528,12002,12647,-1,-1884,-2144,-21468,109,2115,-1
-5276,21892,12688,11688,13905,-1,-2252,-1764,-20400,104,1597,-1
-3592,22292,12604,10219,13403,-1,-1388,-1636,-21408,672,1029,-1
432,13548,10032,9692,15533,-1,-1064,-1916,-20644,455,538,-1
-280,12928,10604,10900,15829,-1,-876,-2452,-20064,30,183,-1
388,17836,10044,6391,14886,-1,520,-3228,-20664,255,-64,-1
712,11984,6192,5425,16547,-1,856,-3248,-22452,676,-396,-1
1080,10520,6620,4744,17363,-1,1584,-3396,-22604,737,-390,-1
1700,12864,6628,2828,15952,-1,988,-2960,-22144,871,-344,-1
2380,8276,4900,1702,15743,-1,376,-2552,-21024,975,-235,-1
3148,7048,3248,433,16703,-1,-140,-1996,-20736,1038,-299,-1
2504,6048,1980,-939,17747,-1,-436,-1736,-21152,1034,-321,-1
3000,4484,632,-2198,18658,-1,-932,-1704,-21052,812,-387,-1
2608,3356,-1000,-3037,19201,-1,-628,-1568,-21216,1061,-681,-1
1788,2500,-1700,-4128,19194,-1,-576,-1572,-21336,1292,-960,-1
2368,-224,-3292,-5007,19086,-1,-852,-1848,-21636,1089,-1169,-1
2428,-812,-4880,-5799,17729,-1,-880,-2008,-21148,1332,-1264,-1
2200,-1936,-8100,-6290,17274,-1,-912,-2140,-21392,1152,-1698,-1
1936,-3288,-10016,-6994,16767,-1,-236,-1680,-21008,1384,-2263,-1
928,-5248,-11156,-7933,16899,-1,-912,-760,-20528,1305,-2574,-1
200,-6756,-12780,-8334,16044,-1,-2032,84,-20316,1151,-2619,-1
492,-8908,-16200,-7683,14495,-1,-1864,628,-20036,429,-2359,-1
52,-10076,-20268,-6977,12741,-1,-476,532,-20112,-118,-2125,-1
408,-11840,-23280,-6326,10950,-1,884,176,-20580,-83,-1800,-1
172,-14660,-26548,-5380,10242,-1,1052,0,-21032,177,-1121,-1
32,-14852,-29200,-4462,9494,-1,-304,44,-20936,317,-470,-1
-96,-17880,-30328,-2759,7005,-1,-340,-32,-20624,142,-27,-1
1448,-20764,-31032,-61,2026,-1,-140,-348,-20884,114,141,-1
284,-20288,-30776,2970,-2003,-1,-124,-384,-20680,241,489,-1
276,-16764,-28608,5116,-4920,-1,-596,-336,-20728,149,743,-1
-448,-12904,-25872,6724,-7237,-1,-816,-312,-20444,-123,878,-1
-900,-9908,-22392,8263,-8865,-1,-456,-204,-20856,-360,1078,-1
-908,-8664,-19616,9785,-9991,-1,-476,-264,-20724,-509,1068,-1
-136,-7288,-16376,11504,-10370,-1,-512,-300,-20748,-490,932,-1
-368,-6528,-13548,13271,-10321,-1,-708,-472,-20324,-570,734,-1
500,-4808,-10788,14199,-9575,-1,-224,-704,-20376,-774,528,-1
256,-2956,-8224,15012,-8881,-1,-176,-648,-20484,-872,503,-1
1552,-2192,-6836,15346,-8139,-1,-172,-756,-21256,-975,675,-1
1920,-1784,-4592,15860,-7009,-1,-464,-896,-21408,-1062,733,-1
1684,-796,-3180,16305,-6390,-1,-432,-664,-21616,-1057,750,-1
1940,760,-856,16877,-5924,-1,-540,-600,-21592,-923,776,-1
2916,1128,1840,17614,-5659,-1,-820,-592,-21528,-724,708,-1
2600,1040,3652,18548,-5162,-1,-732,-1056,-21256,-441,488,-1
3844,-388,6568,20330,-5045,-1,-964,-1772,-21264,-312,53,-1
4008,4,7120,21653,-5893,-1,-800,-2420,-20752,-262,-501,-1
2416,240,7056,22627,-7432,-1,-572,-2828,-20420,-379,-983,-1
1548,1116,9024,22265,-9014,-1,-244,-2856,-20828,-563,-1159,-1
612,1076,12268,20569,-9711,-1,160,-2456,-21256,-426,-1029,-1
776,1976,16708,18762,-10451,-1,300,-1720,-21456,-240,-561,-1
