ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-4316,12176,12320,32767,-27925,-1,-860,320,-21080,2528,1556,-1
-4868,13528,13244,32767,-27454,-1,-1048,300,-22464,2139,1364,-1
-7148,15432,14392,32767,-25567,-1,-732,-472,-21976,2266,1485,-1
-7636,10820,17160,32767,-24552,-1,172,-1164,-21824,2677,2041,-1
-8180,14712,22856,32767,-23236,-1,-548,-1372,-21424,3052,2412,-1
-5348,16744,27780,28158,-22551,-1,-1016,-1268,-20732,2891,2381,-1
-48,20480,30496,23023,-22668,-1,-632,-1340,-21032,2409,2161,-1
3136,28696,28716,21660,-24052,-1,-1512,-1624,-20208,1728,1746,-1
5508,23976,26604,16691,-22314,-1,-4800,-1756,-18176,928,902,-1
12068,30464,28420,15098,-17284,-1,-1904,-2296,-20624,1203,-194,-1
18500,31200,31260,12820,-11789,-1,-532,-2200,-20944,1248,-1225,-1
20156,28652,32767,9058,-6260,-1,432,-2256,-21224,1334,-2065,-1
17912,29820,32767,4173,-2167,-1,2060,-2008,-20824,1298,-2195,-1
15592,30280,32767,-1217,2704,-1,1548,-1264,-20584,1268,-1732,-1
13160,31868,31220,-7061,7603,-1,-112,-668,-19848,509,-1065,-1
11504,29824,29352,-10055,12446,-1,-1460,-196,-19508,-450,-559,-1
8480,27244,27644,-15679,15604,-1,-2036,180,-19696,-1217,-207,-1
5368,23240,25320,-19542,19085,-1,-1772,288,-19724,-2326,23,-1
3792,21060,24752,-21380,22222,-1,-1072,264,-19932,-3224,185,-1
408,20396,21376,-22840,24423,-1,-252,-16,-20308,-3751,273,-1
-128,18872,19992,-25555,26037,-1,-372,-592,-20332,-4175,134,-1
-1356,17648,18496,-26479,27690,-1,-308,-1348,-20976,-4092,-56,-1
-3080,17116,16432,-27254,29229,-1,-68,-1624,-21092,-4159,-311,-1
-2412,17308,15460,-26243,31202,-1,84,-1356,-21540,-4041,-28,-1
-1272,17152,13004,-26590,32410,-1,1420,-488,-22108,-3660,151,-1
-2364,16100,11120,-28056,32767,-1,2056,572,-22120,-2574,129,-1
-2264,14420,10196,-27251,32767,-1,2564,756,-22728,-1029,86,-1
-3572,13748,8212,-23405,32767,-1,1328,220,-23596,209,371,-1
-2116,9496,6616,-21448,32767,-1,-1524,-1012,-22844,351,641,-1
-7896,5304,-512,-27563,32767,-1,-3188,-2032,-21836,478,625,-1
1088,6592,4872,-25805,32767,-1,-3000,-2724,-20692,117,450,-1
-3676,-3436,672,-23844,32767,-1,-2504,-2696,-19072,-333,357,-1
2968,2896,3536,-21496,32696,-1,-1524,-2056,-18536,-1269,52,-1
