ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-32768,-1132,12784,-5208,-17639,-1,-16,1016,-21080,-526,-2085,-1
32767,-3316,1168,10278,-393,-1,896,1608,-19688,4141,-1024,-1
22968,5968,8988,-6175,-11136,-1,-3324,1476,-18648,4875,-300,-1
20216,8452,-8912,-6625,-15043,-1,-3560,1072,-16860,3801,-207,-1
14956,9784,-4480,-1387,-17053,-1,-2556,756,-17076,2409,348,-1
18152,8580,-6776,669,-14021,-1,-2088,576,-17976,757,874,-1
13684,7972,-8248,3385,-12134,-1,-1120,684,-18432,-61,1538,-1
10104,7144,-8628,6637,-11217,-1,-1824,360,-19216,536,2041,-1
15316,8300,-4172,7339,-10503,-1,-2616,-576,-19240,1166,2097,-1
10844,7776,-1648,6975,-4066,-1,-2996,-1796,-19032,1318,1722,-1
12804,6076,-4024,6541,-83,-1,-3732,-2608,-18072,867,1129,-1
15264,13140,-4404,7419,-3015,-1,-3976,-2776,-18296,39,385,-1
11932,13524,-6104,9427,-4424,-1,-3900,-2504,-19356,-360,-760,-1
8168,11100,-5972,13088,-7381,-1,-3816,-2228,-19880,709,-2116,-1
5224,7960,-6264,15254,-9799,-1,-3320,-1584,-19548,2448,-3190,-1
3024,7048,-6024,16966,-12603,-1,-2988,-844,-17684,3523,-4076,-1
768,7168,-5472,18160,-15720,-1,-2900,-384,-15988,3355,-5198,-1
-716,6808,-5148,19588,-18958,-1,-3312,-540,-15320,2090,-6251,-1
-2564,5972,-4928,20185,-22450,-1,-5564,-776,-13888,638,-7136,-1
-3716,5416,-4236,20852,-26070,-1,-4188,-596,-16496,-282,-8107,-1
-5624,5184,-4028,20954,-30310,-1,-3960,-296,-17004,-807,-8883,-1
-7960,5944,-4264,21211,-32768,-1,-4288,216,-16788,-1086,-9617,-1
-10240,7968,-4180,21681,-32768,-1,-4280,756,-16024,-1551,-10500,-1
-12980,9132,-4116,22143,-32768,-1,-3916,1032,-15740,-2490,-11438,-1
-16348,8668,-3676,21609,-32768,-1,-3520,844,-16012,-3663,-12237,-1
-20404,9088,-2896,19915,-32768,-1,-2460,728,-17684,-4328,-12843,-1
-27348,9412,-2220,16897,-32768,-1,-1464,232,-20216,-4411,-13167,-1
-32768,11552,-1000,13960,-32768,-1,-1212,-816,-22132,-3326,-12749,-1
-32768,17184,1460,10082,-32768,-1,-2920,-1688,-22724,-868,-11858,-1
-32768,16772,492,10107,-32768,-1,-4048,-1828,-20872,307,-11304,-1
-32768,14836,-1392,11974,-32768,-1,-4912,-1712,-19064,262,-11208,-1
-32768,12716,-2156,13379,-32768,-1,-4868,-1080,-17632,249,-12143,-1
-30716,10320,-2864,15177,-32768,-1,-3856,-320,-18116,-293,-13426,-1
-27708,9596,-1424,16175,-32768,-1,-2880,80,-19928,-88,-14036,-1
-28164,10016,-2016,17988,-32768,-1,-1960,292,-21044,799,-13691,-1
-29508,9652,-3752,20664,-30972,-1,-924,120,-22456,2415,-13362,-1
-30432,9224,-4896,24130,-26790,-1,-1912,40,-22160,4084,-13361,-1
-31056,9840,-4152,27758,-22769,-1,-2824,-236,-21184,6439,-13839,-1
-32220,9368,-2140,31557,-20180,-1,-3832,-456,-18708,7928,-14736,-1
-31572,9012,112,32767,-18987,-1,-4492,-660,-16664,7080,-16157,-1
-28720,8688,2740,32767,-17488,-1,-4632,-684,-15672,4962,-17611,-1
-25280,7384,4724,32767,-15733,-1,-4216,-200,-15572,2972,-18898,-1
-21932,6644,6076,32767,-13366,-1,-4300,232,-16420,1713,-19534,-1
-19612,5364,6804,32767,-11025,-1,-4296,1136,-17060,893,-20114,-1
-18076,3396,6692,32767,-8555,-1,-3168,1564,-17496,1040,-20396,-1
-17004,1812,6108,32767,-6043,-1,-3636,764,-18124,1774,-20839,-1
-17044,308,5484,32767,-3947,-1,-4288,312,-17528,2624,-21735,-1
-16944,1628,5492,30575,-2675,-1,-4568,260,-16620,3004,-22604,-1
-16208,624,5076,25892,-1443,-1,-5312,784,-15952,2421,-23707,-1
-14964,300,4616,22398,-745,-1,-5104,1556,-15820,1698,-24288,-1
-14112,1040,3604,19405,-813,-1,-5308,2076,-16284,1250,-24648,-1
-14012,1204,2208,16019,-1337,-1,-5556,2236,-16692,1059,-25150,-1
-14660,2468,1764,14117,-1739,-1,-5168,2104,-17688,1185,-25891,-1
-15120,2876,1504,12166,-2553,-1,-5104,1576,-18696,1356,-26837,-1
