ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
8512,21228,-4396,-14529,-6635,-1,-10072,-2708,-14640,-470,783,-1
8948,22108,-4776,-17000,-4421,-1,-10532,-2712,-14756,-573,611,-1
9604,23260,-5828,-19148,-1965,-1,-10716,-2800,-14696,-360,322,-1
9636,24344,-6788,-20379,980,-1,-10596,-2928,-14556,-213,-32,-1
8788,24024,-7816,-21073,3803,-1,-10720,-2992,-14840,-329,-413,-1
8236,23756,-8748,-21801,6696,-1,-10444,-2820,-15136,-469,-701,-1
8064,23836,-9664,-22507,9660,-1,-10792,-2776,-14976,-445,-787,-1
7656,23684,-11376,-22393,12448,-1,-10888,-2640,-14672,-509,-813,-1
6576,23056,-11940,-21565,14844,-1,-11004,-2664,-14192,-785,-833,-1
5844,22660,-12548,-20807,17506,-1,-10788,-2356,-13804,-1031,-700,-1
5112,22260,-13600,-19524,19724,-1,-11220,-1792,-14108,-1233,-207,-1
4560,21620,-14560,-18418,21413,-1,-10848,-1672,-14444,-1285,-187,-1
4240,19956,-15988,-16927,22202,-1,-10488,-1624,-14396,-1385,154,-1
3664,17968,-16476,-14943,22348,-1,-10676,-1760,-14200,-1619,493,-1
3492,15800,-17784,-12038,21892,-1,-10972,-1768,-14280,-2107,557,-1
3300,13816,-19152,-8137,21006,-1,-11440,-2040,-14288,-2393,622,-1
3048,12468,-19288,-4296,20076,-1,-11372,-1852,-14672,-2464,1182,-1
2448,11244,-19064,-916,18829,-1,-11424,-1504,-14108,-1652,1888,-1
1752,10468,-18564,1609,17308,-1,-11408,-1540,-13460,-1207,2029,-1
948,10212,-18776,3923,15658,-1,-12104,-2184,-12832,-1496,1991,-1
-48,9960,-18688,5940,13499,-1,-12732,-3048,-12728,-2116,1636,-1
-600,9244,-18216,7240,11351,-1,-12852,-3696,-13100,-2349,1121,-1
-628,8080,-17844,7793,9613,-1,-12760,-4028,-13368,-2336,477,-1
48,6748,-17224,7874,8104,-1,-13068,-4292,-13556,-2241,-192,-1
4,4080,-16340,8228,6739,-1,-12148,-3720,-13612,-2322,-856,-1
