ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-23208,-1044,-2612,-4988,320,-1,-15332,996,-27648,3357,5346,-1
-24344,-488,-2520,-4438,-1814,-1,-16252,-1300,-25024,7246,5505,-1
-23992,428,-2408,-3860,-4104,-1,-15268,-3304,-20076,9631,4803,-1
-22604,1340,-2148,-3113,-6384,-1,-12876,-4120,-15584,10185,3861,-1
-20188,2240,-2076,-2632,-8386,-1,-11392,-4124,-12056,8623,3425,-1
-17864,2408,-2256,-2383,-9920,-1,-10004,-3572,-10660,5384,3081,-1
-15996,1832,-2528,-2296,-10991,-1,-9528,-4552,-9380,2376,3309,-1
-14500,1116,-2868,-2069,-11760,-1,-9872,-6388,-10680,312,3084,-1
-13888,428,-2716,-1590,-12435,-1,-11976,-8952,-14024,-2687,2448,-1
-14648,-152,-2424,-548,-13453,-1,-13848,-8880,-17148,-5036,389,-1
-16112,-152,-2088,807,-14498,-1,-11600,-6876,-20408,-2768,-1251,-1
-17652,456,-1608,2276,-15763,-1,-9528,-3696,-22232,1761,-1780,-1
-18552,1288,-1364,3557,-17226,-1,-7940,-336,-19812,5510,-1675,-1
-18568,2528,-1364,4687,-18597,-1,-6604,1968,-15208,6953,-496,-1
-17872,3708,-1520,5530,-19576,-1,-6988,2840,-11784,6399,844,-1
-17036,4236,-1944,6202,-20092,-1,-7396,2600,-9704,4639,2049,-1
-16744,4392,-2372,6447,-20262,-1,-6540,1992,-9392,2576,3341,-1
-16636,4420,-2640,6347,-20071,-1,-6480,880,-10036,590,4474,-1
-17004,4588,-2944,5790,-19682,-1,-6348,-628,-11036,-1218,5419,-1
-17468,4536,-2964,4813,-18763,-1,-6464,-2608,-12444,-2370,6069,-1
-17284,4480,-3380,3829,-17133,-1,-6608,-4512,-13180,-2567,6018,-1
-16880,3656,-3552,2658,-14754,-1,-6316,-6168,-14088,-2379,5378,-1
-16008,2476,-3964,2125,-12114,-1,-6172,-6680,-14596,-2140,4418,-1
-15700,1640,-3984,1894,-9344,-1,-6752,-7196,-14628,-1810,3074,-1
-15572,1148,-3652,1714,-6736,-1,-7228,-6680,-15556,-1359,1639,-1
-15480,1104,-3228,1549,-4334,-1,-7932,-5668,-16164,-1118,279,-1
-15844,1360,-2968,1565,-2083,-1,-8088,-4448,-17204,-1264,-341,-1
-16308,1872,-2552,1828,-112,-1,-8468,-2864,-17784,-804,-342,-1
-16684,2516,-2744,2487,1477,-1,-8328,-2012,-18380,-253,-30,-1
-17228,3416,-2364,3331,2752,-1,-7932,-1764,-18076,648,456,-1
-17344,4244,-1872,4112,3821,-1,-7516,-2080,-17632,1690,819,-1
-16816,5276,-1748,4876,4743,-1,-7300,-3012,-16304,2223,1075,-1
-15916,5444,-1892,5220,5562,-1,-7336,-3528,-15096,2014,1039,-1
